Timestamp,Frame_Number,Detected_Letter,Confidence,Current_Word,Sentence,Hand_Position,Processing_Time_Ms
2025-11-28 10:56:36.996,5,C,0.19,C,,"(334, 426)",12.50
2025-11-28 10:56:39.635,72,A,0.66,A,,"(491, 248)",9.98
2025-11-28 10:56:42.248,138,B,0.86,B,,"(476, 257)",12.65
2025-11-28 10:56:44.904,191,C,0.55,C,,"(526, 282)",8.92
2025-11-28 10:56:51.467,334,B,0.67,B,,"(463, 289)",10.41
2025-11-28 10:56:54.105,377,C,0.78,C,,"(527, 298)",10.18
2025-11-28 10:56:56.780,426,C,0.53,C,,"(554, 341)",14.03
2025-11-28 10:56:59.571,475,E,0.33,E,,"(493, 308)",12.27
2025-11-28 10:57:02.236,528,B,0.84,B,E,"(468, 288)",12.06
2025-11-28 10:57:04.920,580,C,0.67,C,E B,"(520, 307)",10.05
2025-11-28 10:57:07.565,636,2,0.86,2,E B C,"(501, 330)",11.96
2025-11-28 10:57:10.307,695,A,0.72,A,E B C 2,"(503, 327)",11.74
2025-11-28 10:57:12.940,744,B,0.81,B,E B C 2 YA,"(502, 335)",10.39
2025-11-28 10:57:15.559,798,0,0.17,0,E B C 2 YA B,"(358, 349)",10.20
2025-11-28 10:57:24.328,1033,B,0.57,B,,"(459, 367)",12.09
2025-11-28 10:57:27.069,1090,B,0.74,B,,"(472, 359)",15.59
2025-11-28 10:57:29.726,1153,A,0.74,A,B,"(497, 346)",11.45
2025-11-28 10:57:32.905,1230,B,0.56,B,B YA,"(486, 355)",12.57
2025-11-28 10:57:35.574,1290,E,0.44,E,B YA B,"(501, 365)",9.80
2025-11-28 10:57:38.615,1355,B,0.34,B,,"(496, 342)",10.35
2025-11-28 10:57:41.283,1426,A,0.48,A,B,"(489, 345)",10.21
2025-11-28 10:57:43.965,1490,A,0.56,A,B YA,"(496, 355)",12.05
2025-11-28 10:57:46.616,1535,C,0.23,AC,B YA,"(514, 359)",12.48
2025-11-28 10:57:49.270,1603,A,0.76,A,B YA BACA,"(522, 352)",11.88
2025-11-28 10:57:53.686,1717,SAYA,0.44,SAYA,B YA BACA YA,"(431, 398)",10.42
2025-11-28 10:57:56.369,1786,B,0.47,B,B YA BACA YA SAYA,"(466, 421)",12.48
2025-11-28 10:57:59.130,1863,E,0.45,E,B YA BACA YA SAYA B,"(500, 341)",11.05
2025-11-28 10:58:01.816,1922,B,0.77,B,B YA BACA YA SAYA B E,"(504, 364)",12.04
2025-11-28 10:58:04.623,1977,B,0.50,B,B YA BACA YA SAYA B E B,"(520, 373)",12.67
2025-11-28 10:58:07.269,2044,E,0.43,E,B YA BACA YA SAYA B E B B,"(537, 395)",12.49
