Timestamp,Frame_Number,Detected_Letter,Confidence,Current_Word,Sentence,Hand_Position,Processing_Time_Ms
2025-12-02 13:32:19.779,11768,C,0.47,A3CCC4C3DA0C333CCAABB3CCACC,ABCDE 1234,"(167, 373)",18.39
2025-12-02 13:32:22.574,11807,C,0.27,A3CCC4C3DA0C333CCAABB3CCACCC,ABCDE 1234,"(160, 370)",24.68
2025-12-02 13:32:29.556,11905,A,0.24,A3CCC4C3DA0C333CCAABB3CCACCCA,ABCDE 1234,"(473, 150)",20.83
2025-12-02 13:34:09.806,13415,A,0.28,A3CCC4C3DA0C333CCAABB3CCACCCAA,ABCDE 1234,"(277, 267)",24.10
2025-12-02 13:34:41.133,13878,A,0.25,A3CCC4C3DA0C333CCAABB3CCACCCAAA,ABCDE 1234,"(16, 297)",20.59
2025-12-02 13:35:03.772,14214,C,0.36,A3CCC4C3DA0C333CCAABB3CCACCCAAAC,ABCDE 1234,"(435, 298)",20.69
2025-12-02 13:35:10.108,14304,3,0.23,A3CCC4C3DA0C333CCAABB3CCACCCAAAC3,ABCDE 1234,"(393, 277)",20.34
2025-12-02 13:35:13.144,14341,3,0.24,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33,ABCDE 1234,"(394, 287)",24.81
2025-12-02 13:35:15.840,14381,D,0.23,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D,ABCDE 1234,"(380, 300)",10.27
2025-12-02 13:35:18.607,14424,3,0.17,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3,ABCDE 1234,"(306, 303)",15.01
2025-12-02 13:35:30.319,14600,C,0.47,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3C,ABCDE 1234,"(130, 362)",20.91
2025-12-02 13:35:33.144,14641,C,0.39,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CC,ABCDE 1234,"(39, 364)",16.59
2025-12-02 13:36:24.067,15404,D,0.26,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCD,ABCDE 1234,"(413, 394)",20.69
2025-12-02 13:37:12.594,16124,SAYA,0.55,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA,ABCDE 1234,"(362, 312)",24.77
2025-12-02 13:37:35.489,16465,4,0.33,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA4,ABCDE 1234,"(142, 424)",20.46
2025-12-02 13:37:38.896,16512,4,0.24,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44,ABCDE 1234,"(159, 423)",20.67
2025-12-02 13:37:42.035,16558,C,0.19,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44C,ABCDE 1234,"(144, 362)",23.91
2025-12-02 13:37:46.259,16611,D,0.35,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD,ABCDE 1234,"(130, 371)",20.57
2025-12-02 13:38:11.120,16945,0,0.38,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD0,ABCDE 1234,"(48, 279)",19.66
2025-12-02 13:38:43.484,17408,1,0.29,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01,ABCDE 1234,"(570, 250)",20.83
2025-12-02 13:38:59.184,17616,C,0.23,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01C,ABCDE 1234,"(441, 230)",31.02
2025-12-02 13:39:30.421,18088,C,0.38,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CC,ABCDE 1234,"(108, 423)",23.72
2025-12-02 13:39:38.928,18195,C,0.54,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCC,ABCDE 1234,"(500, 302)",24.94
2025-12-02 13:39:41.730,18234,C,0.28,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCC,ABCDE 1234,"(470, 308)",20.89
2025-12-02 13:39:44.513,18276,C,0.66,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCC,ABCDE 1234,"(483, 318)",20.78
2025-12-02 13:39:50.748,18363,D,0.23,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD,ABCDE 1234,"(397, 306)",26.74
2025-12-02 13:40:01.935,18519,4,0.27,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4,ABCDE 1234,"(122, 218)",20.94
2025-12-02 13:40:09.773,18622,C,0.75,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4C,ABCDE 1234,"(194, 294)",20.52
2025-12-02 13:40:13.050,18666,C,0.40,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC,ABCDE 1234,"(222, 370)",10.16
2025-12-02 13:40:15.882,18708,4,0.23,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC4,ABCDE 1234,"(150, 410)",18.39
2025-12-02 13:40:18.722,18750,1,0.36,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC41,ABCDE 1234,"(105, 407)",21.01
2025-12-02 13:40:21.525,18791,1,0.31,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC411,ABCDE 1234,"(140, 384)",18.49
2025-12-02 13:40:24.291,18832,0,0.35,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC4110,ABCDE 1234,"(192, 398)",20.55
2025-12-02 13:40:28.686,18894,0,0.44,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC41100,ABCDE 1234,"(154, 402)",20.64
2025-12-02 13:40:31.678,18938,0,0.34,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC411000,ABCDE 1234,"(189, 407)",21.99
2025-12-02 13:40:57.964,19328,0,0.52,A3CCC4C3DA0C333CCAABB3CCACCCAAAC33D3CCDSAYA44CD01CCCCCD4CC4110000,ABCDE 1234,"(103, 403)",20.84
