Timestamp,Frame_Number,Detected_Letter,Confidence,Current_Word,Sentence,Hand_Position,Processing_Time_Ms
2025-11-24 06:48:52.580,32,SAYA,0.62,SAYA,,"(444, 244)",10.15
2025-11-24 06:48:54.445,69,SAYA,0.59,SAYASAYA,,"(390, 243)",9.60
2025-11-24 06:48:56.270,108,A,0.28,SAYASAYAA,,"(327, 350)",12.36
2025-11-24 06:48:57.899,147,A,0.28,SAYASAYAAA,,"(346, 339)",12.21
2025-11-24 06:48:59.527,187,0,0.32,SAYASAYAAA0,,"(453, 261)",10.25
2025-11-24 06:49:01.155,227,0,0.40,SAYASAYAAA00,,"(466, 276)",10.15
2025-11-24 06:49:03.923,289,D,0.32,SAYASAYAAA00D,,"(465, 287)",10.05
2025-11-24 06:49:06.181,338,3,0.42,SAYASAYAAA00D3,,"(422, 300)",12.08
2025-11-24 06:49:08.099,370,3,0.35,SAYASAYAAA00D33,,"(447, 311)",10.19
2025-11-24 06:49:09.828,395,E,0.58,SAYASAYAAA00D33E,,"(492, 219)",10.38
2025-11-24 06:49:11.645,432,E,0.51,SAYASAYAAA00D33EE,,"(478, 190)",9.90
2025-11-24 06:49:13.385,463,A,0.90,SAYASAYAAA00D33EEA,,"(434, 208)",12.56
2025-11-24 06:49:15.164,495,B,0.35,SAYASAYAAA00D33EEAB,,"(372, 240)",10.05
2025-11-24 06:49:16.815,529,4,0.32,SAYASAYAAA00D33EEAB4,,"(425, 251)",10.30
2025-11-24 06:49:18.444,563,B,0.48,SAYASAYAAA00D33EEAB4B,,"(405, 231)",10.33
2025-11-24 07:53:58.871,3,C,0.33,C,,"(475, 347)",10.35
2025-11-24 07:54:00.824,31,D,0.32,CD,,"(505, 299)",12.30
2025-11-24 07:54:02.520,56,A,0.54,CDA,,"(491, 286)",12.29
2025-11-24 07:54:04.182,95,A,0.59,CDAA,,"(506, 292)",13.97
2025-11-24 07:54:06.103,147,SAYA,0.52,CDAASAYA,,"(280, 369)",10.15
2025-11-24 07:54:08.072,199,A,0.27,CDAASAYAA,,"(346, 289)",12.36
2025-11-24 07:54:09.711,243,D,0.27,CDAASAYAAD,,"(414, 338)",10.38
2025-11-24 07:54:11.461,290,A,0.15,CDAASAYAADA,,"(405, 344)",10.28
2025-11-24 07:54:13.081,333,2,0.26,CDAASAYAADA2,,"(496, 314)",12.22
2025-11-24 07:54:14.755,377,2,0.28,CDAASAYAADA22,,"(484, 293)",11.14
2025-11-24 07:54:33.920,926,D,0.43,CDAASAYAADA22D,,"(447, 261)",10.14
2025-11-24 07:54:35.758,974,B,0.30,CDAASAYAADA22DB,,"(445, 299)",11.68
2025-11-24 07:54:37.509,1021,E,0.25,CDAASAYAADA22DBE,,"(400, 290)",9.99
2025-11-24 07:54:39.178,1067,0,0.33,CDAASAYAADA22DBE0,,"(339, 290)",12.12
2025-11-24 07:54:40.838,1114,SAYA,0.27,CDAASAYAADA22DBE0SAYA,,"(312, 300)",10.34
2025-11-24 07:54:42.515,1161,SAYA,0.28,CDAASAYAADA22DBE0SAYASAYA,,"(308, 301)",10.25
2025-11-24 07:54:44.281,1211,SAYA,0.35,CDAASAYAADA22DBE0SAYASAYASAYA,,"(294, 312)",10.10
2025-11-24 07:54:45.945,1258,A,0.29,CDAASAYAADA22DBE0SAYASAYASAYAA,,"(219, 357)",11.98
2025-11-24 07:54:47.623,1305,A,0.32,CDAASAYAADA22DBE0SAYASAYASAYAAA,,"(217, 359)",10.51
2025-11-24 07:54:49.266,1352,A,0.33,CDAASAYAADA22DBE0SAYASAYASAYAAAA,,"(226, 354)",11.50
2025-11-24 07:54:50.930,1399,A,0.32,CDAASAYAADA22DBE0SAYASAYASAYAAAAA,,"(219, 359)",10.44
2025-11-24 07:54:52.629,1446,D,0.34,CDAASAYAADA22DBE0SAYASAYASAYAAAAAD,,"(432, 312)",13.23
2025-11-24 07:54:54.303,1494,C,0.31,CDAASAYAADA22DBE0SAYASAYASAYAAAAADC,,"(419, 303)",10.01
2025-11-24 07:54:56.018,1535,A,0.30,CDAASAYAADA22DBE0SAYASAYASAYAAAAADCA,,"(270, 324)",10.32
2025-11-24 07:54:59.304,1610,A,0.33,CDAASAYAADA22DBE0SAYASAYASAYAAAAADCAA,,"(303, 341)",12.27
